frame_num,tracker_id,xmin,ymin,xmax,ymax
132,2,1343,217,1588,566
132,5,1045,104,1214,595
132,6,780,256,904,589
133,1,1630,197,1809,546
133,2,1342,215,1589,566
133,5,1048,104,1213,588
133,6,779,255,901,592
134,1,1628,196,1812,554
134,2,1341,215,1589,567
134,5,1051,106,1214,583
134,6,777,250,900,599
135,1,1626,197,1813,559
135,2,1341,215,1589,566
135,5,1052,105,1214,581
135,6,773,250,894,600
136,1,1627,200,1813,559
136,2,1340,214,1589,566
136,5,1052,106,1213,579
136,6,788,250,913,603
137,1,1625,199,1814,561
137,2,1340,214,1589,566
137,5,1052,106,1211,579
137,6,781,250,905,603
138,1,1626,199,1814,557
138,2,1340,214,1587,566
138,5,1051,106,1210,580
138,6,774,254,892,598
139,1,1626,200,1814,556
139,2,1339,214,1586,565
139,5,1050,106,1209,581
139,6,771,258,885,595
140,1,1627,200,1813,554
140,2,1340,214,1586,565
140,5,1049,106,1208,583
140,6,775,258,885,593
141,1,1628,201,1813,549
141,2,1340,213,1586,565
141,5,1049,107,1208,585
141,6,781,259,891,594
142,1,1628,202,1813,550
142,2,1340,213,1584,565
142,5,1049,107,1209,588
142,6,785,259,895,596
143,1,1628,202,1814,552
143,2,1341,213,1584,565
143,5,1051,109,1211,593
143,6,789,257,899,595
144,1,1628,203,1814,550
144,2,1342,213,1585,565
144,5,1052,111,1212,595
144,6,791,258,901,596
145,1,1628,203,1814,550
145,2,1342,213,1585,565
145,5,1054,113,1214,598
145,6,792,259,903,597
146,1,1628,203,1814,549
146,2,1343,213,1585,565
146,5,1054,114,1214,598
146,6,789,257,899,597
147,1,1628,204,1815,549
147,2,1343,214,1585,565
147,5,1054,114,1214,596
147,6,793,258,904,598
148,1,1628,204,1815,548
148,2,1342,214,1583,565
148,5,1056,117,1215,594
148,6,798,256,912,599
149,1,1628,204,1815,547
149,2,1341,214,1582,565
149,5,1056,118,1216,596
149,6,799,256,917,600
150,1,1627,204,1815,549
150,2,1343,215,1583,565
150,5,1059,132,1217,594
150,6,793,256,911,601
151,1,1626,203,1816,550
151,2,1344,215,1584,566
151,5,1062,136,1220,594
151,6,790,258,908,604
152,1,1626,203,1816,550
152,2,1344,215,1584,566
152,5,1062,140,1221,593
152,6,790,256,907,602
153,1,1627,203,1818,552
153,2,1344,215,1585,566
153,5,1063,143,1224,592
153,6,792,252,909,599
154,1,1628,203,1818,551
154,2,1344,215,1585,566
154,5,1062,143,1225,591
154,6,795,249,914,596
155,1,1628,203,1818,551
155,2,1344,215,1584,565
155,5,1061,143,1227,591
155,6,788,248,907,596
156,1,1627,203,1818,552
156,2,1345,215,1585,565
156,5,1060,145,1228,590
156,6,791,246,904,571
157,1,1627,203,1818,552
157,2,1346,215,1586,564
157,5,1058,147,1227,590
157,6,787,244,896,564
158,1,1626,203,1817,551
158,2,1346,215,1586,564
158,5,1055,148,1225,590
158,6,787,243,893,556
159,1,1626,203,1817,550
159,2,1345,215,1587,565
159,5,1052,147,1224,589
159,6,788,240,894,553
160,1,1627,204,1817,549
160,2,1346,215,1586,565
160,5,1052,149,1225,588
160,6,787,239,894,556
161,1,1628,205,1816,546
161,2,1347,217,1585,566
161,5,1052,148,1227,589
161,6,789,238,899,565
162,1,1626,205,1815,548
162,2,1346,218,1581,566
162,5,1049,148,1227,589
162,6,790,239,898,559
163,1,1626,205,1816,549
163,2,1348,219,1582,567
163,5,1048,147,1227,589
163,6,791,236,895,549
164,1,1626,206,1816,549
164,2,1342,220,1569,567
164,5,1047,146,1225,588
164,6,789,238,892,548
165,1,1627,205,1817,549
165,2,1343,219,1569,566
165,5,1045,136,1227,590
165,6,788,239,890,546
166,1,1626,204,1816,547
166,2,1346,217,1571,565
166,5,1045,131,1228,590
166,6,787,241,889,552
167,1,1626,204,1816,546
167,2,1342,215,1564,565
167,5,1044,127,1227,591
167,6,785,243,889,559
168,1,1625,203,1817,548
168,2,1343,213,1564,565
168,5,1043,124,1226,591
168,6,788,243,894,565
169,1,1624,203,1817,550
169,2,1348,213,1569,565
169,5,1042,122,1224,592
169,6,786,247,898,589
170,1,1625,204,1817,548
170,2,1349,212,1571,567
170,5,1038,120,1221,594
170,6,784,246,901,601
171,1,1625,204,1817,548
171,2,1348,212,1571,567
171,5,1035,118,1218,598
171,6,781,247,897,605
172,1,1626,204,1818,546
172,2,1348,212,1571,566
172,5,1033,116,1216,598
172,6,778,249,892,603
173,1,1626,204,1818,546
173,2,1345,213,1568,566
173,5,1034,116,1214,596
173,6,780,256,893,606
174,1,1626,203,1818,546
174,2,1345,213,1568,566
174,5,1034,116,1213,596
174,6,776,258,887,606
175,1,1624,203,1818,547
175,2,1345,212,1569,566
175,5,1034,115,1212,599
175,6,771,259,880,603
176,1,1624,203,1819,549
176,2,1345,212,1570,565
176,5,1035,112,1213,602
176,6,770,264,879,601
177,1,1624,203,1819,549
177,2,1345,211,1571,565
177,5,1034,111,1211,603
177,6,777,265,890,599
178,1,1622,203,1819,553
178,2,1345,211,1571,565
178,5,1033,109,1210,605
178,6,772,273,887,602
179,1,1623,204,1819,552
179,2,1344,211,1570,565
179,5,1035,107,1211,606
179,6,767,276,883,606
180,1,1625,206,1818,549
180,2,1344,212,1569,564
180,5,1036,105,1211,606
180,6,764,277,880,604
181,1,1626,206,1819,547
181,2,1344,212,1569,564
181,5,1037,106,1210,605
181,6,762,277,881,608
182,1,1625,204,1819,549
182,2,1343,212,1568,563
182,5,1037,106,1208,605
182,6,761,280,881,610
183,1,1623,203,1818,549
183,2,1342,211,1566,563
183,5,1037,107,1207,606
183,6,755,281,884,639
184,1,1623,203,1816,545
184,2,1342,210,1567,563
184,5,1037,108,1205,606
184,6,757,281,888,647
185,1,1622,203,1815,544
185,2,1343,210,1567,563
185,5,1038,107,1205,607
185,6,761,288,881,617
186,1,1623,203,1812,538
186,2,1343,209,1567,563
186,5,1040,107,1205,606
186,6,761,290,880,618
187,1,1624,203,1810,532
187,2,1341,210,1564,563
187,5,1040,106,1205,607
187,6,763,299,879,625
188,1,1624,202,1807,526
188,2,1340,210,1563,564
188,5,1042,107,1205,605
188,6,761,295,873,610
189,1,1619,197,1805,526
189,2,1339,209,1562,564
189,5,1044,109,1204,601
189,6,762,291,872,604
190,1,1618,194,1803,524
190,2,1339,209,1562,565
190,5,1045,111,1203,599
190,6,764,287,874,604
191,1,1618,193,1802,522
191,2,1342,216,1556,556
191,5,1046,113,1204,599
191,6,766,283,877,604
192,1,1618,191,1802,521
192,2,1341,212,1562,561
192,5,1047,115,1203,596
192,6,770,280,881,602
193,1,1617,189,1801,521
193,2,1341,210,1564,563
193,5,1047,116,1204,596
193,6,774,276,888,605
194,1,1617,189,1799,520
194,2,1341,209,1566,563
194,5,1047,116,1204,597
194,6,780,272,895,603
195,1,1618,189,1799,519
195,2,1340,208,1566,563
195,5,1048,117,1204,598
195,6,786,265,907,605
196,1,1616,186,1799,521
196,2,1341,207,1567,563
196,5,1049,117,1206,598
196,6,791,261,919,607
197,1,1617,187,1798,520
197,2,1340,208,1566,563
197,5,1050,117,1207,599
197,6,795,259,928,609
198,1,1618,188,1797,519
198,2,1340,208,1567,563
198,5,1049,117,1206,599
198,6,793,262,932,618
199,1,1620,188,1797,519
199,2,1340,208,1568,563
199,5,1049,118,1205,598
199,6,788,262,927,617
200,1,1620,188,1797,519
200,2,1339,208,1567,563
200,5,1049,119,1206,598
200,6,786,261,926,616
201,1,1621,189,1796,518
201,2,1338,208,1568,564
201,5,1050,118,1207,598
201,6,787,262,925,609
202,1,1620,188,1795,519
202,2,1338,208,1568,564
202,5,1049,118,1206,598
202,6,784,263,921,608
203,1,1615,185,1793,523
203,2,1339,208,1568,564
203,5,1047,117,1205,598
203,6,783,265,917,604
204,1,1611,184,1791,525
204,2,1340,208,1570,564
204,5,1047,117,1205,598
204,6,777,269,909,602
205,1,1604,183,1787,527
205,2,1341,213,1564,556
205,5,1046,116,1205,599
205,6,771,273,899,599
206,1,1601,184,1784,528
206,2,1341,216,1563,553
206,5,1046,117,1205,600
206,6,772,281,896,598
207,1,1600,185,1784,527
207,2,1341,217,1562,552
207,5,1044,117,1204,601
207,6,782,284,907,600
208,1,1601,186,1785,526
208,2,1340,216,1562,552
208,5,1045,118,1205,601
208,6,778,289,901,599
209,1,1601,186,1785,526
209,2,1339,217,1561,552
209,5,1045,117,1205,601
209,6,772,288,898,599
210,1,1600,187,1785,526
210,2,1338,218,1561,552
210,5,1045,116,1205,601
210,6,781,293,911,594
211,1,1600,187,1786,526
211,2,1337,218,1561,552
211,5,1044,115,1205,602
211,6,783,293,918,591
212,1,1599,186,1785,526
212,2,1335,217,1559,553
212,5,1044,114,1205,601
212,6,780,295,919,587
213,1,1598,186,1785,526
213,2,1335,217,1559,552
213,5,1044,114,1204,600
213,6,775,288,926,594
214,1,1597,186,1785,526
214,2,1335,216,1560,553
214,5,1045,114,1205,600
214,6,753,283,908,603
215,1,1600,185,1787,526
215,2,1335,212,1567,560
215,5,1045,113,1205,598
215,6,744,281,900,608
216,1,1600,185,1787,526
216,2,1334,214,1563,557
216,5,1045,115,1205,598
216,6,754,286,911,608
217,1,1603,184,1790,525
217,2,1334,211,1567,562
217,5,1045,115,1205,599
217,6,752,287,912,609
218,1,1605,185,1790,525
218,2,1334,210,1570,564
218,5,1045,115,1204,598
218,6,750,287,912,610
219,1,1608,187,1790,523
219,2,1335,209,1571,565
219,5,1044,115,1204,598
219,6,741,277,905,611
220,1,1609,185,1792,523
220,2,1335,210,1571,565
220,5,1044,116,1203,598
220,6,745,279,911,616
221,1,1610,185,1793,524
221,2,1335,214,1565,558
221,5,1044,116,1204,597
221,6,750,280,918,616
222,1,1612,185,1794,524
222,2,1335,212,1569,562
222,5,1044,116,1205,597
222,6,760,282,931,611
223,1,1613,185,1794,523
223,2,1336,211,1572,564
223,5,1044,117,1206,597
223,6,764,280,942,611
224,1,1614,187,1793,523
224,2,1335,211,1571,565
224,5,1045,118,1207,597
224,6,764,277,951,614
225,1,1617,188,1794,522
225,2,1332,211,1564,565
225,5,1045,117,1209,598
225,6,761,275,957,623
226,1,1617,190,1794,522
226,2,1332,213,1559,566
226,5,1044,116,1210,600
226,6,757,275,957,626
227,1,1616,189,1794,523
227,2,1337,213,1563,567
227,5,1045,114,1212,602
227,6,754,275,957,631
228,1,1615,189,1793,523
228,2,1342,216,1564,568
228,5,1046,115,1214,603
228,6,755,274,955,624
229,1,1618,189,1796,524
229,2,1342,223,1556,558
229,5,1048,113,1217,603
229,6,756,272,960,631
230,1,1617,188,1796,524
230,2,1343,230,1555,558
230,5,1048,112,1218,601
230,6,760,274,961,627
231,1,1614,188,1794,526
231,2,1339,232,1560,573
231,5,1049,112,1219,601
231,6,757,272,961,635
232,1,1613,188,1793,527
232,2,1340,233,1566,582
232,5,1050,114,1219,599
232,6,758,269,967,644
233,1,1612,188,1793,529
233,2,1342,236,1565,584
233,5,1049,113,1219,601
233,6,758,270,967,646
234,1,1612,190,1793,529
234,2,1346,241,1563,578
234,5,1052,115,1221,601
234,6,759,270,968,647
235,1,1613,191,1792,528
235,2,1351,247,1562,574
235,5,1053,115,1222,600
